번호,제품명,업소명,신고번호
40811,원데일리 이뮨 구미,코스맥스엔비티(주),200700170352898
40810,혈당컷 체지방 다이어트,(주)비오팜,200400170211779
40809,면역마스터 이뮨챔피언 플러스,(주)알피바이오,200400170061805
40808,프로바이오틱스 환,(주)씨티씨바이오,20040017059305
40807,여에스더 리포좀 비타민C 플러스,큐어라벨(주),20040017016669
40806,액상 철분제 리포퍼 비헴철 영양제 아기(영· 유아) 어린이(키즈),코스맥스엔비티(주),200700170352897
40805,서재걸 면역 다이어트 컷-day(데이),동서바이오팜(주) 안성공장,20220011370226
40804,락토골드 프리미엄 혼합유산균,일동바이오사이언스(주),20140017002587
40803,마이비타 활성엽산 800,케이지랩 주식회사,20040017038279
40802,여에스더 혈당케어 포뮬러,큐어라벨(주),20040017016668
40801,프로바이오틱스 키즈 맥스,(주)비피도,20040015070479
40800,엔:오해피드림,(주)유유헬스케어,200400151071246
40799,더 콜라겐 100 (전량수출용),(주)알피바이오,200400170061804
40798,모로실 슬림 컷 다이어트,광동헬스바이오(주) 2공장,200400200141959
40797,밀키프렌즈업,케이지랩 주식회사,20040017038278
40796,오늘부터 다이어트 환,동서바이오팜(주) 안성공장,20220011370225
40795,Ultra Omega 3 Fish Oil Softgels(전량수출용),주식회사 노바렉스2공장,200600200081233
40794,금단미인 초임계 알티지 오메가3 900,주식회사 뉴트리플래닛,2019001602465
40793,김정문 홍맥,주식회사 노바렉스2공장,200600200081234
40792,눈과 혈행에 이롭 초임계 rTG오메가3 루테인지아잔틴,주식회사 노바렉스2공장,200600200081230
40791,맥스컷 다이글로메라,코스맥스바이오(주),200400200023842
40790,멀티비타민 미네랄,코스맥스바이오(주),200400200023846
40789,마리골드 루테인,(주)유니쎌팜,20040020028807
40788,알래스카 알티지(rTG) 오메가3,주식회사 노바렉스2공장,200600200081232
40787,Yungbio Pro(전량수출용),케이지랩 주식회사,20040017038277
40786,혈당케어,(주)네이처텍,20040020004593
40785,한국호간보정HD-1Premium,코스맥스바이오(주),200400200023843
40784,트루엔 에너제틱 밀크씨슬,주식회사 노바렉스,200400200083139
40783,키즈하이 키성장 분말스틱,(주)서흥,200400200062050
40782,키 성장 솔루션 파우더 초코맛,(주)서흥,200400200062052
40661,튼튼 어린이 오메가3 젤리,(주)알피바이오,200400170061801
40660,프리미엄 리얼업 초임계 알티지 rTG 오메가3 식물성캡슐,동서바이오팜(주) 안성공장,20220011370224
40659,락티카제이바실러스 파라카제이 HP7 액상 프로바이오틱스,(주)에치와이 평택공장,2014001710745
40658,당케어톡스(talks),주식회사 이수바이오,20130017122130
40657,김오곤원장의 초임계 rTG 오메가3 플러스,(주)비오팜2공장,202400202332
40656,구디 럭 홍삼 바나나쇼콜라맛,코스맥스엔비티(주),200700170352894
40655,CMG 간케어RX 플러스,(주)케이에이치앤비,2004001702936
40654,레스큐장,(주)휴온스푸디언스 금산3공장,20190016403196
40653,옵티엠에스엠 프리미엄,(주)오투바이오,20130020008598
40652,Welson Cordyceps Premium,콜마비앤에이치(주)세종3공장,20240028080145
40651,관절보궁보프리미엄,(주)오투바이오,20130020008597
40650,더 케어당 The caredang,주식회사 상상바이오,20200016052271
40649,두뇌엔 브레인 스틱,콜마비앤에이치(주)세종3공장,20240028080147
40648,락토핏 위케어,종근당건강(주),20040020016695
40647,락토핏 위케어 프로,종근당건강(주),20040020016694
40646,리디튼,주식회사 상상바이오,20200016052272
40645,리포좀 비타민C,콜마비앤에이치(주)세종3공장,20240028080146
40644,뮴 튼튼 칼마디K2 젤리+,코스맥스바이오(주),200400200023836
40643,옵티멈 비타민B,이앤에스(주),2022002000290
40642,알티지오메가3프리미엄,(주)오투바이오,20130020008599
40641,울트라 파인핏 다이어트,주식회사 상상바이오,20200016052270
40640,위즈키즈,대동고려삼(주),20040020031558
40639,잔티젠 나이트 슬리밍 다이어트,주식회사 노바렉스2공장,200600200081227
40638,참당귀황기추출복합물(SHPro®),(주)서흥헬스케어,20130020024457
40637,흑 크레아틴,맥널티바이오(주),2018001246663
40636,틴즈하이,코스맥스바이오(주),200400200023837
40635,정직한 루테인골드,동서바이오팜(주) 안성공장,20220011370223
40634,홍삼농축액8,대동고려삼(주),20040020031557
40633,원데일리 이뮨 샷,코스맥스엔비티(주),200700170352892
40632,셀라비우다,숭인내추럴팜(주),2023000400014
40631,DR. ARAM Korea Pine Needle Gold 닥터아람 한국 적송 골드,(주)한풍네이처팜,201200190071086
40630,콘드로이친뮤코다당단백 맥스 1500,(주)비오팜,200400170211778
40629,Centrum daily nutrition pack 40 women Pro(전량수출용),코스맥스엔비티(주),200700170352893
40628,웰키커 어린이 면역 아연,디에이치팜(주),20040015102207
40627,무드셀라969 비타민C 플러스 톡,(주)뉴팜,20040017014659
40626,노즈엔 코프로,(주)케이에이치앤비,2004001702935
40625,올인원 종합비타민,(주)바이오 로제트,20040017015451
40624,프리미엄 발효천마정,주식회사 진산사이언스,2014002002386
40623,프리미엄 발효천마,주식회사 진산사이언스,2014002002387
40622,발효천마골드,주식회사 진산사이언스,2014002002388
40621,간 건강엔 프리미엄 밀크씨슬,광동헬스바이오(주) 2공장,200400200141953
40620,누가 순식물성 MSM 임페리얼골드 513mg,(주)씨이에스팜,2022002132845
40619,닥터삼프리미엄,고려인삼과학주식회사,20040015039257
40618,당케어 혈당&유산균,(주)한미양행 선유공장,2022001022287
40617,EVERCOLLAGEN TIME SKIN(전량수출용),주식회사 노바렉스,200400200083134
40616,BODYDOCTORS 초임계 비타민K2&D3,주식회사 노바렉스,200400200083133
40615,면역밸런스엔 다래추출물,주식회사 네추럴웨이,20040015104320
40614,메모리 피에스(PS) 한스틱,주식회사 코스팜,20172880236367
40613,메가 마그네슘 & 아연 플러스 비타민D 5000iu,엔피케이(주),201000190041459
40612,바디키퍼 블러드림,(주)유니쎌팜,20040020028799
40611,비타민C 2000 D 아연,(주)웰레스트,20230029284144
40610,솔고수퍼칼슘플러스,(주)한국씨엔에스팜,200400200073278
40609,스킨솔루션 세라마이드,광동헬스바이오(주) 2공장,200400200141966
40608,ATOMY SLIM BODY APPLEPHENON JELLY STICK (튀르키예 수출용),(주)서흥헬스케어,20130020024456
40607,윤진고(潤進膏) 프리미엄,대원헬스케어 주식회사 2공장,20172880193304
40606,정직한 마그네슘 400,(주)한국씨엔에스팜,200400200073277
40605,프리미엄 장용성 비타민B 컴플렉스 골드,주식회사한미양행,200400150832223
40604,칼마아디+A,주식회사한미양행,200400150832224
40603,초임계 비타민K2 위드 D3 밸런스,주식회사 네추럴웨이,20040015104321
40602,유피어라,(주)한미양행 선유공장,2022001022288
40601,파이토클린 샷,(주)네이처텍,20040020004592
40600,프리미엄 장용성 마그네슘 400,주식회사한미양행,200400150832220
40599,프리미엄 비타민K2 메나퀴논 MK-7,엔피케이(주),201000190041458
40598,풍성한 판토비오틴 맥스,주식회사한미양행,200400150832219
40597,리뉴비 면역에이스S,(주)코리아화인에프티,20040017039627
40596,액상 철분제 24mg 리포퍼 비헴철 영양제 임산부 · 온가족용,코스맥스엔비티(주),200700170352890
40595,에이엠 스윝칼슘,(주)뉴팜,20040017014658
40594,웰빙프라임옵티MSM,케이지랩 주식회사,20040017038274
40593,탄탄 슬리밍 올데이 컷,코스맥스엔비티(주),200700170352889
40592,활성엽산 800,케이지랩 주식회사,20040017038275
40591,하이업 키즈,(주)서흥헬스케어 2공장,2018001205678
40590,쇼킹쾌변,디에이치팜(주),20040015102206
40589,철갑상어&소연골 뮤코다당단백 콘드로이친+K2,(주)한국씨엔에스팜,200400200073275
40588,메타더마 풋사과 플로리진 젤리스틱,(주)한국씨엔에스팜,200400200073276
40587,락티플란티바실러스 플란타럼(Lactiplantibacillus plantarum)HAC01,퍼멘텍(주)오송공장,2023002952510
40586,한빛 관절연골 콘드로이친 뮤코다당1200,(주)오투바이오,20130020008596
40585,TRIPLE LIPOSOME GLUTATHION 트리플 리포좀 글루타치온(전량수출용),주식회사 네추럴웨이 포천 제2공장,20190004553354
40584,루미젠,주식회사한미양행,200400150832222
40583,블러드케어 써큐맥스 프라임,주식회사한미양행,200400150832221
40582,비타도스C,바이오디피씨(주),2023000462459
40581,비타민C 3500,에스케이내추럴팜(주),20040017106471
40580,아침에 강황 커큐민365 프리미엄,농업회사법인(주)케이앤바이오,2020000604512
40579,레시틴 프리미엄,(주)세종바이오팜,20190009105424
40578,D-Cal Peachy Sachets Liquid Calcium 2,코스맥스엔비티(주),200700170352891
40577,게르만센골드,주식회사 네이처팩토리,2021001285545
40576,아르테폴리스 스프레이,콜마비앤에이치(주)음성공장,200600200033133
40575,갱년기 여성 & 유산균 바이탈퀸,(주)서흥,200400200062047
40574,광동 명품혈행플로우,주식회사 노바렉스2공장,200600200081226
40573,김소형 혈당+다이어트 비비컷,(주)한국씨엔에스팜,200400200073274
40572,눈 건강엔 루테인,(주)오투바이오,20130020008595
40571,데일리베이스 코엔자임Q10·엽산,주식회사 노바렉스2공장,200600200081225
40570,면역이뮨 100억 유산균,엠에스바이오텍(주),200400200201414
40569,영국산 비타민C,(주)씨이에스팜,2022002132844
40568,아이힐스 유산균,(주)메디오젠 충주공장,20180012174478
40567,아주 멀티비타 이뮨샷,코스맥스바이오(주),200400200023835
40566,보라지유 월경 전 케어 레시피,코스맥스엔비티(주),200700170352888
40565,올인원 하루한알 멀티비타민,(주)웰레스트,20230029284143
40564,차전자피식이섬유혼합,(주)서흥,200400200062046
40563,퓨어젠 알래스카츄어블 오메가3,(주)알피바이오,200400170061800
40562,아스타·오메가,(주)한풍네이처팜,201200190071085
40561,오스타민D,(주)비오팜,200400170211777
40560,유한 올인원 종합 비타민 & 이뮨,주식회사 네추럴웨이 포천 제2공장,20190004553353
40559,비피더스4종KIDS혼합유산균-5000,(주)비피도,20040015070477
40558,털부처꽃추출물,(주)바이오포트코리아,201900065562
40557,키즈케어 튼튼면역 스틱,(주)화인내츄럴,20040015094253
40556,혈당 배변엔 치커리 커트,(주)유유헬스케어,200400151071243
40555,두뇌엔 포스파티딜세린 징코,우리바이오(주),20190009483681
40554,Ento Banaba leaf and vitamins for blood sugar level care,(주)한풍네이처팜,201200190071084
40553,라노비스 셀톡,(주)유유헬스케어,200400151071207
40552,메모리365 VIVI,(주)바이오스타줄기세포기술연구원,201600100025
40551,브레인 마루,주식회사 프롬바이오 익산공장,2019001407165
40550,비건 식물성 알티지 오메가3 DHA 미니,(주)한풍네이처팜,201200190071083
40549,프로바이오틱스(Lactiplantibacillus plantarum KC3)∙익모초추출복합물(CKDB-315),(주)종근당바이오,20160006007124
40548,네오라인 마그네슘,(주)화인내츄럴,20040015094254
40547,프로락토진,케이지랩 주식회사,20040017038273
40546,뉴오리진 프로바이오틱스 100억,일동바이오사이언스(주),20140017002586
40545,라노비스 셀샷,(주)유유헬스케어,200400151071206
40544,잠백이 MSM,(주)한풍네이처팜,201200190071082
40543,미라클루틴 더블 컷 혈당 & 다이어트,(주)바이오 로제트,20040017015450
40542,온리추얼 슬리밍컷 다이어트,코스맥스엔비티(주),200700170352887
40541,19종혼합유산균디아이(DI)3-2700,(주)메디오젠,20040020029791
40540,빅비타 이뮨 종합비타민샷 Big Vita Immune Multi Vitamin Shot(전량수출용),주식회사 네추럴웨이 포천 제2공장,20190004553352
40539,혈당 관리 모아담다,(주)한국씨엔에스팜,200400200073272
40538,키즈맥스 면역력 더하기 발효홍삼,광동헬스바이오(주),20200016252113
40537,코엔자임Q10 미니,(주)유니쎌팜,20040020028798
40536,장패스,(주)마이크로바이옴코리아,2022002019414
40535,오나드 올데이 유브이 케어,(주)한국씨엔에스팜,200400200073273
40534,97% high purity fish oil (Pectin)(전량수출용),주식회사 노바렉스2공장,200600200081224
40533,리즈 그린커피빈 다이어트 올데이 헤이즐넛향,(주)유유헬스케어,200400151071204
40532,활력삼프리미엄,고려인삼과학주식회사,20040015039256
40531,인테라 엠지투에이 포스 핏 버닝 티,(주)한미양행 선유공장,2022001022285
40530,엔:오보감,(주)유유헬스케어,200400151071242
40529,아이타민,주식회사웰파인,20130015151122
40528,아임비타 멀티비타민 이뮨플러스,주식회사 네추럴웨이 포천 제2공장,20190004553351
40527,레드바이탈,(주)한미양행 선유공장,2022001022286
40526,리즈 그린커피빈 다이어트 올데이 아메리카노향,(주)유유헬스케어,200400151071205
40525,키즈앤업 어린이칼슘젤리스틱 딸기맛,농업회사법인(주)힐링팜,20090016001163
40524,키즈앤업 어린이칼슘젤리스틱 청포도맛,농업회사법인(주)힐링팜,20090016001164
40523,루테인지아잔틴 24 베타카로틴,주식회사 노바렉스2공장,200600200081223
40522,웨이더 혈당케어 프로틴,(주)유유헬스케어,200400151071241
40521,비피더스4종혼합유산균IBS-6000,(주)비피도,20040015070476
40520,마시는 액상철분,주식회사웰파인,20130015151120
40519,활성형 엽산 800 플러스,(주)비오팜,200400170211776
40518,고려홍삼면역31.2,농업회사법인(주)부성,2019001222414
40517,인산인해 蔘 G77,대동고려삼(주),20040020031556
40516,올인원 풀케어 멀티팩,주식회사 노바렉스,200400200083132
40515,심플리N 오메가3,코스맥스바이오(주),200400200023833
40514,심플리N 100억 유산균,코스맥스바이오(주),200400200023834
40513,바나바오트,콜마비앤에이치(주)세종3공장,20240028080144
40512,MSM더블케어,(주)오투바이오,20130020008594
40511,눈건강프로젝트 365 루테인아스타잔틴,(주)서흥,200400200062045
40510,멀티비타민 올인원 실버맨,고려은단 헬스케어(주),2016000600579
40509,BNR thin R,(주)서흥,200400200062044
40508,두뇌 인지력엔 포스파티딜세린 PS 300,(주)비오팜,200400170211775
40507,멀티비타민 올인원 실버우먼,고려은단 헬스케어(주),2016000600580
40506,멀티비타민 올인원 우먼,고려은단 헬스케어(주),2016000600578
40505,더라이커스 피니톨 포 리버,우리바이오(주),20190009483680
40504,원퍼데이 프리미엄 프로바이오틱스 소프트,코스맥스엔비티(주),200700170352886
40503,혈당 혈행 혈압 콜레스테롤 블러드케어 올인원,주식회사 예본바이오,202300201516
40502,11종 혼합유산균 3011,(주)쎌바이오텍,200400170171316
40501,12종 혼합유산균 3011,(주)쎌바이오텍,200400170171317
40500,11종 혼합유산균 1011,(주)쎌바이오텍,200400170171318
40499,멀티비타민 올인원 맨,고려은단 헬스케어(주),2016000600577
40498,프로틴플러스,(주)두루원,20040020010405
40497,롱비타C,(주)알피바이오,200400170061798
40496,이너플로라 크랜베리(수출용),(주)서흥,200400200062042
40495,이너플로라 콜라겐 수출용,(주)서흥,200400200062043
40494,알로에 프로바이오틱스 아연 (전량수출용),주식회사 코스팜,20172880236366
40493,아르테폴리스 젤리,광동헬스바이오(주),20200016252112
40492,메노락토 프리미엄 퀸즈,(주)휴온스푸디언스 금산3공장,20190016403195
40491,닷티 제로슈거,(주)서흥,200400200062041
40490,다이어트 B 프로,(주)메디오젠 충주공장,20180012174477
40489,GNC Vitapak® Program Kids Plus,(주)서흥,200400200062040
